database_identifier,Neurotransmitter release cycle,Neurotransmitter clearance,Transmission across Chemical Synapses,Neuronal System,Metabolism,Synthesis of PC,Glycerophospholipid biosynthesis,Phospholipid metabolism,Metabolism of nucleotides,Signal Transduction,Disease,Acetylcholine Neurotransmitter Release Cycle,Signaling by GPCR,Class A/1 (Rhodopsin-like receptors),Transport of small molecules,GPCR downstream signalling,Metabolism of proteins,G alpha (i) signalling events,"Transport of bile salts and organic acids, metal ions and amine compounds","Transport of vitamins, nucleosides, and related molecules",SLC-mediated transmembrane transport,GPCR ligand binding,Organic cation transport,Organic cation/anion/zwitterion transport,Metabolism of lipids,SLC transporter disorders,Disorders of transmembrane transporters,Diseases of metabolism,Metabolism of amino acids and derivatives,Purine salvage,Purine catabolism,Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane,Nucleotide catabolism,Nucleotide salvage,Diseases of nucleotide metabolism,group_type
C47,0.35428222413528454,0.35428222413528454,0.35428222413528454,0.35428222413528454,0.2901184166621848,0.35428222413528454,0.35428222413528454,0.35428222413528454,-0.05252003052867446,0.513263221298139,-0.09454004106813722,0.35428222413528454,0.4202191546056867,0.4202191546056867,-0.443496397769247,0.4202191546056867,-0.04810721686854874,0.4202191546056867,0.5882485389517347,0.01359501122083348,-0.443496397769247,0.4202191546056867,0.644557313567845,0.5882485389517347,0.1781342902084044,-0.48468950259925137,-0.48468950259925137,0.01359501122083348,0.5450267931783387,0.01359501122083348,-0.05252003052867446,0.01359501122083348,-0.05252003052867446,0.01359501122083348,0.01359501122083348,Control
C49,0.5888317593919611,0.5888317593919611,0.5888317593919611,0.5888317593919611,0.15567237568487044,0.5888317593919611,0.5888317593919611,0.5888317593919611,-0.48390951467311527,0.673150982771183,-0.48600293574638004,0.5888317593919611,0.640782175064243,0.640782175064243,0.3914249901568857,0.640782175064243,0.40840820644496023,0.640782175064243,-0.39593459472397624,-0.4712145964905367,0.3914249901568857,0.640782175064243,-0.40485909118036767,-0.39593459472397624,0.6492701577064826,-0.5086813119692656,-0.5086813119692656,-0.4712145964905367,-0.31663806605925193,-0.4712145964905367,-0.48390951467311527,-0.4712145964905367,-0.48390951467311527,-0.4712145964905367,-0.4712145964905367,Control
C5,0.4720271982040433,0.4720271982040433,0.4720271982040433,0.4720271982040433,-0.13198126025538276,0.4720271982040433,0.4720271982040433,0.4720271982040433,0.02164630263835509,0.6237352837914907,0.0039794784044524,0.4720271982040433,0.6997352998448261,0.6997352998448261,-0.1338146663511624,0.6997352998448261,0.6282385841710221,0.6997352998448261,0.2982233750832876,-0.24010737574302793,-0.1338146663511624,0.6997352998448261,0.5636109009634932,0.2982233750832876,0.021314576204519868,0.3416339982153693,0.3416339982153693,-0.24010737574302793,0.4815304047335936,-0.24010737574302793,0.02164630263835509,-0.24010737574302793,0.02164630263835509,-0.24010737574302793,-0.24010737574302793,Control
C51,-0.6307306869722652,-0.6307306869722652,-0.6307306869722652,-0.6307306869722652,-0.22552809501438323,-0.6307306869722652,-0.6307306869722652,-0.6307306869722652,0.4270411525079783,-0.08870798025290129,0.4661381847760801,-0.6307306869722652,-0.07677727923893048,-0.07677727923893048,-0.17805771041163188,-0.07677727923893048,-0.5807055019068328,-0.07677727923893048,0.07211926622258928,-0.24276734734343192,-0.17805771041163188,-0.07677727923893048,0.3840567830684792,0.07211926622258928,-0.517036000794726,0.6236743537621149,0.6236743537621149,-0.24276734734343192,0.31543845136387816,-0.24276734734343192,0.4270411525079783,-0.24276734734343192,0.4270411525079783,-0.24276734734343192,-0.24276734734343192,Control
C53,0.585438839284253,0.585438839284253,0.585438839284253,0.585438839284253,-0.2928128701820412,0.585438839284253,0.585438839284253,0.585438839284253,0.12774232999984206,0.7098183652821082,0.05061856316319404,0.585438839284253,0.7163607249032867,0.7163607249032867,0.3276840179061635,0.7163607249032867,0.6782038940210124,0.7163607249032867,-0.5045278685690331,0.25555956281147535,0.3276840179061635,0.7163607249032867,-0.5928544669746796,-0.5045278685690331,0.09688914851531526,0.15413570399819415,0.15413570399819415,0.25555956281147535,-0.4977044225280263,0.25555956281147535,0.12774232999984206,0.25555956281147535,0.12774232999984206,0.25555956281147535,0.25555956281147535,Control
C7,-0.2545930229390656,-0.2545930229390656,-0.2545930229390656,-0.2545930229390656,-0.4170461849291873,-0.2545930229390656,-0.2545930229390656,-0.2545930229390656,0.41931679404958794,-0.1563427902418122,0.49807280325193753,-0.2545930229390656,-0.11587689181168014,-0.11587689181168014,-0.14990380243674795,-0.11587689181168014,-0.27577021535034957,-0.11587689181168014,0.02631279628403082,-0.2293294051848104,-0.14990380243674795,-0.11587689181168014,-0.587867029749278,0.02631279628403082,-0.3090623847924077,0.5808820011295678,0.5808820011295678,-0.2293294051848104,-0.45122984280109296,-0.2293294051848104,0.41931679404958794,-0.2293294051848104,0.41931679404958794,-0.2293294051848104,-0.2293294051848104,Control
C8,0.24635206464997556,0.24635206464997556,0.24635206464997556,0.24635206464997556,-0.43322374961800336,0.24635206464997556,0.24635206464997556,0.24635206464997556,0.46382332946149696,0.6096256798892311,0.5217533906990087,0.24635206464997556,0.5236285527478142,0.5236285527478142,-0.09923472650580573,0.5236285527478142,0.3987044565474055,0.5236285527478142,0.004909961844216406,-0.17116806945780336,-0.09923472650580573,0.5236285527478142,-0.5783772305651088,0.004909961844216406,-0.12044104177972036,0.6498595143293319,0.6498595143293319,-0.17116806945780336,-0.4287491505134419,-0.17116806945780336,0.46382332946149696,-0.17116806945780336,0.46382332946149696,-0.17116806945780336,-0.17116806945780336,Control
C9,0.22138711541499814,0.22138711541499814,0.22138711541499814,0.22138711541499814,-0.019397730164702368,0.22138711541499814,0.22138711541499814,0.22138711541499814,-0.16070224406585265,0.2972662569608009,-0.2304963735330263,0.22138711541499814,0.37208899744080765,0.37208899744080765,0.47528130513950484,0.37208899744080765,0.4058454174371639,0.37208899744080765,-0.5426155699750976,0.0005281843245624481,0.47528130513950484,0.37208899744080765,-0.5710140993875805,-0.5426155699750976,0.03107669450385271,-0.01920817478723908,-0.01920817478723908,0.0005281843245624481,-0.15051735189059892,0.0005281843245624481,-0.16070224406585265,0.0005281843245624481,-0.16070224406585265,0.0005281843245624481,0.0005281843245624481,Control
D10,0.420876731154058,0.420876731154058,0.420876731154058,0.420876731154058,-0.01614137175691715,0.420876731154058,0.420876731154058,0.420876731154058,0.0916876761156669,0.08084002528659709,0.0637303268300614,0.420876731154058,0.17211499699461694,0.17211499699461694,-0.37933213218873957,0.17211499699461694,0.4058454174371639,0.17211499699461694,0.5448867466965849,0.3091521420618281,-0.37933213218873957,0.17211499699461694,0.563417235274543,0.5448867466965849,0.5375930725152418,0.08651582695512143,0.08651582695512143,0.3091521420618281,0.2337155941304898,0.3091521420618281,0.0916876761156669,0.3091521420618281,0.0916876761156669,0.3091521420618281,0.3091521420618281,Case
D11,0.18345804312202713,0.18345804312202713,0.18345804312202713,0.18345804312202713,0.21325444821169295,0.18345804312202713,0.18345804312202713,0.18345804312202713,-0.5122933788399618,0.3274473771891044,-0.5412196879582606,0.18345804312202713,0.39288614676658573,0.39288614676658573,0.5958786856190222,0.39288614676658573,-0.04810721686854874,0.39288614676658573,-0.6280529984372637,-0.4646976763054541,0.5958786856190222,0.39288614676658573,-0.6417000525063266,-0.6280529984372637,-0.17767384095242175,-0.5229676205093755,-0.5229676205093755,-0.4646976763054541,-0.5643149261224312,-0.4646976763054541,-0.5122933788399618,-0.4646976763054541,-0.5122933788399618,-0.4646976763054541,-0.4646976763054541,Case
