database_identifier,Succinic acid,group_type
C00327,0.3956112215555728,Control
C00328,0.1999841887574004,Control
C00329,0.5579180513020419,Control
C00330,0.6113088266992164,Control
C00332,0.2548052145159553,Control
C00334,-0.0051792382323627,Control
C00338,0.2857907068184573,Control
C00344,0.3786969276240434,Control
C00346,0.4408743679600643,Control
C00348,0.2897727054221163,Control
C00351,0.1826064218796544,Control
C00352,0.0232779800485887,Control
C00353,0.0574179881053229,Control
C00358,0.3749051008035589,Control
C00361,-0.7995936396583049,Control
C00362,-0.4603919919205764,Control
C00363,0.7541820491436272,Control
C00365,0.7321007346284831,Control
C00368,0.4284920541623379,Control
C00370,-0.2237282360400715,Control
C00371,0.8476482889152596,Control
C00372,0.1415852525631861,Control
C00373,0.3896136291520536,Control
C00375,0.2824289360002848,Control
C00376,0.2748430841564616,Control
C00379,0.2910006623225658,Control
C00381,0.4889819168397532,Control
C00382,0.5252982179877786,Control
C00384,0.0665504712698999,Control
C00386,0.2442769493135507,Control
C00389,0.0609081601869064,Control
C00390,-0.0719105573827117,Control
C00394,0.5197752866899792,Control
C00399,0.0922552502267141,Control
C00402,0.0046500893224933,Control
C00403,0.7251894600906968,Control
C00404,0.2606470417614828,Control
C00408,0.7090152433705001,Control
C00409,-0.0078941220819475,Control
C00412,-0.3404044906398183,Control
C00415,-0.2580937235821123,Control
C00417,0.2280204507138734,Control
C00418,0.3997488373906059,Control
C00419,0.2070485823007311,Control
C00423,0.3771676002047813,Control
C00427,0.2832724626820475,Control
C00428,0.1354034615205865,Control
C00429,0.3421561110807783,Control
C00437,-5.0809650298888736,Control
C00440,-0.4456459670924086,Control
C00441,-5.651687111753403,Control
C00443,-1.0126154757060946,Control
C00446,-2.214967846392544,Control
C00452,-1.1437194249472618,Control
C00453,-0.1656473841865519,Control
C00455,0.2077213203209136,Control
C00458,-0.4691295881534864,Control
C00463,0.454706518151021,Control
C00468,0.3116118978034731,Control
C00470,0.3492015323728871,Control
C00471,0.4074573473589352,Control
C00475,0.6149265804452916,Control
C00476,-6.369392543952854,Control
C00478,-1.9763402483557304,Control
C00479,-0.0569194507605493,Control
C00485,0.3448959057030238,Control
C00489,-1.9707286405397573,Control
C00492,-5.249502297144948,Control
C00495,0.2779862970251135,Control
C00502,0.4558437533581728,Control
C00503,0.5247490550563071,Control
C00506,0.232245931400898,Control
C00507,-5.2822209545728045,Control
C00511,-4.937546454369139,Control
C00517,-4.933440766256992,Control
C00519,-4.994891648597728,Control
C00521,0.4871933858267834,Control
C00526,-1.440539173524452,Control
C00527,0.1833130012898453,Control
C00529,-2.393703077245528,Control
C00531,0.5677579912081909,Control
C00533,-4.837306507889133,Control
C00534,0.5840957044172167,Control
C00536,0.623950762164522,Control
C00537,-1.1964529724313675,Control
C00539,-0.1940591193852067,Control
C00551,0.088366534674987,Control
C00552,-4.795910969728786,Control
C00553,0.2539291131305157,Control
C00555,-0.6217835052218246,Control
